date,price,city
Mayo 2010,13.8,barcelona
Abril 2010,13.8,barcelona
Marzo 2010,13.8,barcelona
Febrero 2010,13.9,barcelona
Enero 2010,13.7,barcelona
Diciembre 2009,13.7,barcelona
Noviembre 2009,13.9,barcelona
Octubre 2009,13.8,barcelona
Septiembre 2009,13.9,barcelona
Agosto 2009,13.9,barcelona
Julio 2009,14.3,barcelona
Junio 2009,14.3,barcelona
Mayo 2009,15.0,barcelona
Abril 2009,15.0,barcelona
Marzo 2009,15.0,barcelona
Febrero 2009,15.0,barcelona
Enero 2009,15.4,barcelona
Diciembre 2008,15.4,barcelona
Noviembre 2008,15.3,barcelona
Octubre 2008,15.0,barcelona
Septiembre 2008,14.5,barcelona
Agosto 2008,14.9,barcelona
Julio 2008,15.2,barcelona
Junio 2008,15.1,barcelona
Mayo 2008,.,barcelona
Abril 2008,.,barcelona
Marzo 2008,.,barcelona
Febrero 2008,.,barcelona
Enero 2008,.,barcelona
Diciembre 2007,.,barcelona
Noviembre 2007,.,barcelona
Octubre 2007,.,barcelona
Septiembre 2007,.,barcelona
Agosto 2007,.,barcelona
Julio 2007,.,barcelona
Junio 2007,.,barcelona
Mayo 2007,.,barcelona
Abril 2007,.,barcelona
Marzo 2007,.,barcelona
Febrero 2007,.,barcelona
Enero 2007,.,barcelona
Diciembre 2006,.,barcelona
Noviembre 2006,.,barcelona
Octubre 2006,.,barcelona
Septiembre 2006,.,barcelona
Agosto 2006,.,barcelona
Julio 2006,.,barcelona
Junio 2006,.,barcelona
Mayo 2006,.,barcelona
Abril 2006,.,barcelona
Marzo 2006,.,barcelona
Febrero 2006,.,barcelona
Enero 2006,.,barcelona
Marzo 2025,21.2,madrid
Febrero 2025,21.2,madrid
Enero 2025,21.0,madrid
Diciembre 2024,20.7,madrid
Noviembre 2024,20.5,madrid
Octubre 2024,20.6,madrid
Septiembre 2024,20.4,madrid
Agosto 2024,19.9,madrid
Julio 2024,19.8,madrid
Junio 2024,19.8,madrid
Mayo 2024,19.4,madrid
Abril 2024,19.2,madrid
Marzo 2024,18.9,madrid
Febrero 2024,18.7,madrid
Enero 2024,18.3,madrid
Diciembre 2023,17.9,madrid
Noviembre 2023,17.7,madrid
Octubre 2023,17.8,madrid
Septiembre 2023,17.7,madrid
Agosto 2023,17.4,madrid
Julio 2023,17.1,madrid
Junio 2023,16.8,madrid
Mayo 2023,16.6,madrid
Abril 2023,16.4,madrid
Marzo 2023,16.2,madrid
Febrero 2023,16.2,madrid
Enero 2023,16.0,madrid
Diciembre 2022,15.8,madrid
Noviembre 2022,15.8,madrid
Octubre 2022,15.9,madrid
Septiembre 2022,15.9,madrid
Agosto 2022,15.7,madrid
Julio 2022,15.5,madrid
Junio 2022,15.2,madrid
Mayo 2022,15.0,madrid
Abril 2022,14.9,madrid
Marzo 2022,14.7,madrid
Febrero 2022,14.5,madrid
Enero 2022,14.4,madrid
Diciembre 2021,14.3,madrid
Noviembre 2021,14.4,madrid
Octubre 2021,14.5,madrid
Septiembre 2021,14.5,madrid
Agosto 2021,14.4,madrid
Julio 2021,14.3,madrid
Junio 2021,14.3,madrid
Mayo 2021,14.3,madrid
Abril 2021,14.3,madrid
Marzo 2021,14.4,madrid
Febrero 2021,14.4,madrid
Enero 2021,14.5,madrid
Diciembre 2020,14.7,madrid
Noviembre 2020,15.0,madrid
Octubre 2020,15.4,madrid
Septiembre 2020,15.7,madrid
Agosto 2020,15.8,madrid
Julio 2020,16.0,madrid
Junio 2020,16.3,madrid
Mayo 2020,16.3,madrid
Abril 2020,15.9,madrid
Marzo 2020,15.7,madrid
Febrero 2020,15.6,madrid
Enero 2020,15.5,madrid
Diciembre 2019,15.6,madrid
Noviembre 2019,15.7,madrid
Octubre 2019,15.9,madrid
Septiembre 2019,15.9,madrid
Agosto 2019,15.7,madrid
Julio 2019,15.6,madrid
Junio 2019,15.6,madrid
Mayo 2019,15.5,madrid
Abril 2019,15.5,madrid
Marzo 2019,15.5,madrid
Febrero 2019,15.4,madrid
Enero 2019,15.3,madrid
Diciembre 2018,15.3,madrid
Noviembre 2018,15.4,madrid
Octubre 2018,15.5,madrid
Septiembre 2018,15.3,madrid
Agosto 2018,15.2,madrid
Julio 2018,15.1,madrid
Junio 2018,15.0,madrid
Mayo 2018,14.9,madrid
Abril 2018,14.9,madrid
Marzo 2018,14.6,madrid
Febrero 2018,14.5,madrid
Enero 2018,14.3,madrid
Diciembre 2017,14.2,madrid
Noviembre 2017,14.2,madrid
Octubre 2017,14.2,madrid
Septiembre 2017,14.2,madrid
Agosto 2017,13.9,madrid
Julio 2017,13.8,madrid
Junio 2017,13.6,madrid
Mayo 2017,13.5,madrid
Abril 2017,13.5,madrid
Marzo 2017,13.4,madrid
Febrero 2017,13.5,madrid
Enero 2017,13.3,madrid
Diciembre 2016,13.2,madrid
Noviembre 2016,13.0,madrid
Octubre 2016,13.0,madrid
Septiembre 2016,12.9,madrid
Agosto 2016,12.8,madrid
Julio 2016,12.7,madrid
Junio 2016,12.5,madrid
Mayo 2016,12.4,madrid
Abril 2016,12.4,madrid
Marzo 2016,12.2,madrid
Febrero 2016,12.1,madrid
Enero 2016,12.1,madrid
Diciembre 2015,12.0,madrid
Noviembre 2015,12.1,madrid
Octubre 2015,12.1,madrid
Septiembre 2015,12.0,madrid
Agosto 2015,11.9,madrid
Julio 2015,11.8,madrid
Junio 2015,11.7,madrid
Mayo 2015,11.7,madrid
Abril 2015,11.6,madrid
Marzo 2015,11.6,madrid
Febrero 2015,11.5,madrid
Enero 2015,11.5,madrid
Diciembre 2014,11.5,madrid
Noviembre 2014,11.5,madrid
Octubre 2014,11.4,madrid
Septiembre 2014,11.4,madrid
Agosto 2014,11.3,madrid
Julio 2014,11.3,madrid
Junio 2014,11.3,madrid
Mayo 2014,11.2,madrid
Abril 2014,11.2,madrid
Marzo 2014,11.2,madrid
Febrero 2014,11.2,madrid
Enero 2014,11.1,madrid
Diciembre 2013,11.1,madrid
Noviembre 2013,11.2,madrid
Octubre 2013,11.3,madrid
Septiembre 2013,11.3,madrid
Agosto 2013,11.2,madrid
Julio 2013,11.2,madrid
Junio 2013,11.2,madrid
Mayo 2013,11.2,madrid
Abril 2013,11.3,madrid
Marzo 2013,11.3,madrid
Febrero 2013,11.4,madrid
Enero 2013,11.4,madrid
Diciembre 2012,11.5,madrid
Noviembre 2012,11.6,madrid
Octubre 2012,11.7,madrid
Septiembre 2012,11.8,madrid
Agosto 2012,11.8,madrid
Julio 2012,11.8,madrid
Junio 2012,11.9,madrid
Mayo 2012,11.9,madrid
Abril 2012,11.9,madrid
Marzo 2012,12.0,madrid
Febrero 2012,12.0,madrid
Enero 2012,12.0,madrid
Diciembre 2011,12.1,madrid
Noviembre 2011,12.2,madrid
Octubre 2011,12.3,madrid
Septiembre 2011,12.3,madrid
Agosto 2011,12.3,madrid
Julio 2011,12.4,madrid
Junio 2011,12.4,madrid
Mayo 2011,12.4,madrid
Abril 2011,12.4,madrid
Marzo 2011,12.4,madrid
Febrero 2011,12.4,madrid
Enero 2011,12.7,madrid
Diciembre 2010,12.6,madrid
Noviembre 2010,12.8,madrid
Octubre 2010,12.7,madrid
Septiembre 2010,12.7,madrid
Agosto 2010,12.5,madrid
Julio 2010,12.4,madrid
Junio 2010,12.5,madrid
Mayo 2010,12.5,madrid
Abril 2010,12.6,madrid
Marzo 2010,12.7,madrid
Febrero 2010,12.6,madrid
