license,name,address,cdpostal,localidad
VT-3090,"LAVAPIES 40, 3º 6",CALLE de Lavapiés 40,28012.0,Madrid
VT-3092,"CAMPEZO 14 1,5º 9",CALLE de Campezo 14,28022.0,Madrid
VT-3093,"CAMPEZO 14 1,5º 8",CALLE de Campezo 14,28022.0,Madrid
VT-3095,"CAMPEZO 14 2,1º 20",CALLE de Campezo 14,28022.0,Madrid
VT-3099,DEYANIRA 59 A-2 13,CALLE de Deyanira 59,28022.0,Madrid
VT-3102,PIRRA 44 A-2 13,CALLE de Pirra 44,28022.0,Madrid
VT-3103,PIRRA 44 A-5 23,CALLE de Pirra 44,28022.0,Madrid
VT-3104,PIRRA 44 D-1 2 22,CALLE de Pirra 44,28022.0,Madrid
VT-3105,PIRRA 44 D-3 19,CALLE de Pirra 44,28022.0,Madrid
VT-3106,PIRRA 44 D-3 22,CALLE de Pirra 44,28022.0,Madrid
VT-3108,"SANTA ISABEL 1, 2º  DCHA",CALLE de Santa Isabel 1,28012.0,Madrid
VT-3110,MONTELEON 10,CALLE de Monteleón 10,,Madrid
VT-3461,"CARLOS ARNICHES, 23",CALLE de Carlos Arniches 23,28005.0,Madrid
VT-3463,"GENERAL LACY, 32",CALLE del General Lacy 32,28045.0,Madrid
VT-3464,"RAFAEL CALVO, 31",CALLE de Rafael Calvo 31,28010.0,Madrid
VT-3468,"SAN RESTITUTO, 43",CALLE de San Restituto 43,28039.0,Madrid
VT-3469,"VELÁZQUEZ, 55 1º C",CALLE de Velázquez 55,28001.0,Madrid
VT-3470,"ATOCHA, 66",CALLE de Atocha 66,28012.0,Madrid
VT-2408,SMART RENTALS CHUECA II,CALLE de Pérez Galdós 6,28004.0,Madrid
VT-2410,VILLANUEVA 30,CALLE de Villanueva 30,28001.0,Madrid
VT-2411,MADERA 38,CALLE de la Madera 38,28004.0,Madrid
VT-2412,"ESPERANZA 12, BAJO DCHA",CALLE de la Esperanza 12,28012.0,Madrid
VT-2413,"ATOCHA 90, 1º IZDA",CALLE de Atocha 90,28012.0,Madrid
VT-2416,"HUERTAS 61, 1º 3",CALLE de las Huertas 61,,Madrid
VT-2417,RIOS ROSAS,CALLE de Ríos Rosas 16,28003.0,Madrid
VT-2418,SALITRE 24,CALLE de Salitre 24,28012.0,Madrid
